Month & hour,Elevation,Azimuth,Hourly W/m2,Cumulative kWh/m2,Cloudless W/m2,
Jan  0:00,-31.9,178.1,0,0.00,0,
Jan  1:00,-29.9,161.9,0,0.00,0,
Jan  2:00,-24.8,147.1,0,0.00,0,
Jan  3:00,-17.3,134.3,0,0.00,0,
Jan  4:00,-8.1,123.4,0,0.00,0,
Jan  5:00,2.3,113.9,9,0.01,16,
Jan  6:00,13.5,105.2,63,0.07,57,
Jan  7:00,25.1,96.7,204,0.28,275,
Jan  8:00,36.9,87.7,371,0.65,517,
Jan  9:00,48.6,77.0,539,1.19,741,
Jan 10:00,59.7,62.0,669,1.86,920,
Jan 11:00,68.7,36.7,754,2.61,1032,
Jan 12:00,72.1,-5.0,789,3.40,1064,
Jan 13:00,67.0,-43.6,755,4.15,1014,
Jan 14:00,57.3,-65.8,660,4.81,886,
Jan 15:00,46.0,-79.5,530,5.34,696,
Jan 16:00,34.2,-89.7,362,5.71,464,
Jan 17:00,22.4,-98.5,183,5.89,223,
Jan 18:00,10.9,-106.9,47,5.94,36,
Jan 19:00,-0.1,-115.8,7,5.94,0,
Jan 20:00,-10.3,-125.6,0,5.94,0,
Jan 21:00,-19.2,-136.9,0,5.94,0,
Jan 22:00,-26.3,-150.1,0,5.94,0,
Jan 23:00,-30.8,-165.3,0,5.94,0,
Feb  0:00,-41.1,178.7,0,0.00,0,
Feb  1:00,-38.9,159.7,0,0.00,0,
Feb  2:00,-33.2,142.9,0,0.00,0,
Feb  3:00,-24.9,128.9,0,0.00,0,
Feb  4:00,-15.0,117.2,0,0.00,0,
Feb  5:00,-4.1,107.2,0,0.00,0,
Feb  6:00,7.4,98.0,33,0.03,39,
Feb  7:00,19.2,88.9,167,0.20,253,
Feb  8:00,31.0,79.1,338,0.54,505,
Feb  9:00,42.3,67.3,499,1.04,742,
Feb 10:00,52.5,51.5,638,1.68,932,
Feb 11:00,60.1,28.5,717,2.39,1053,
Feb 12:00,62.9,-2.1,752,3.14,1091,
Feb 13:00,59.3,-32.0,725,3.87,1041,
Feb 14:00,51.2,-53.8,637,4.51,910,
Feb 15:00,40.8,-68.9,504,5.01,712,
Feb 16:00,29.4,-80.4,277,5.29,471,
Feb 17:00,17.6,-90.0,101,5.39,43,
Feb 18:00,5.8,-99.1,28,5.42,28,
Feb 19:00,-5.7,-108.3,0,5.42,0,
Feb 20:00,-16.6,-118.5,0,5.42,0,
Feb 21:00,-26.4,-130.4,0,5.42,0,
Feb 22:00,-34.4,-144.7,0,5.42,0,
Feb 23:00,-39.7,-162.0,0,5.42,0,
Mar  0:00,-51.8,175.9,0,0.00,0,
Mar  1:00,-48.6,152.9,0,0.00,0,
Mar  2:00,-41.5,134.1,0,0.00,0,
Mar  3:00,-32.1,119.5,0,0.00,0,
Mar  4:00,-21.2,107.9,0,0.00,0,
Mar  5:00,-9.7,97.9,0,0.00,0,
Mar  6:00,2.1,88.5,13,0.01,20,
Mar  7:00,13.8,79.1,145,0.16,244,
Mar  8:00,25.2,68.7,319,0.48,502,
Mar  9:00,35.7,56.2,488,0.97,741,
Mar 10:00,44.5,40.3,620,1.59,928,
Mar 11:00,50.4,19.8,699,2.28,1043,
Mar 12:00,52.0,-4.1,720,3.00,1072,
Mar 13:00,48.8,-27.2,689,3.69,1013,
Mar 14:00,41.7,-46.1,596,4.29,871,
Mar 15:00,32.2,-60.7,239,4.53,53,
Mar 16:00,21.3,-72.3,90,4.62,46,
Mar 17:00,9.7,-82.2,44,4.66,35,
Mar 18:00,-2.1,-91.5,6,4.67,0,
Mar 19:00,-13.8,-100.9,0,4.67,0,
Mar 20:00,-25.2,-111.4,0,4.67,0,
Mar 21:00,-35.7,-123.8,0,4.67,0,
Mar 22:00,-44.6,-139.7,0,4.67,0,
Mar 23:00,-50.5,-160.2,0,4.67,0,
Apr  0:00,-63.2,169.8,0,0.00,0,
Apr  1:00,-58.2,141.2,0,0.00,0,
Apr  2:00,-49.3,121.2,0,0.00,0,
Apr  3:00,-38.5,107.3,0,0.00,0,
Apr  4:00,-27.0,96.4,0,0.00,0,
Apr  5:00,-15.1,87.0,0,0.00,0,
Apr  6:00,-3.4,78.0,1,0.00,0,
Apr  7:00,7.9,68.6,98,0.10,201,
Apr  8:00,18.5,58.1,276,0.37,468,
Apr  9:00,27.8,45.7,433,0.81,699,
Apr 10:00,35.1,30.8,554,1.36,874,
Apr 11:00,39.5,13.1,620,1.98,975,
Apr 12:00,40.3,-6.0,630,2.61,992,
Apr 13:00,37.1,-24.5,590,3.20,921,
Apr 14:00,30.7,-40.4,371,3.57,771,
Apr 15:00,22.0,-53.7,92,3.66,47,
Apr 16:00,11.9,-64.8,52,3.72,38,
Apr 17:00,0.8,-74.5,10,3.73,5,
Apr 18:00,-10.8,-83.5,0,3.73,0,
Apr 19:00,-22.7,-92.6,0,3.73,0,
Apr 20:00,-34.4,-102.7,0,3.73,0,
Apr 21:00,-45.6,-115.2,0,3.73,0,
Apr 22:00,-55.5,-132.5,0,3.73,0,
Apr 23:00,-62.3,-157.9,0,3.73,0,
May  0:00,-71.4,164.2,0,0.00,0,
May  1:00,-64.8,129.9,0,0.00,0,
May  2:00,-54.6,110.4,0,0.00,0,
May  3:00,-43.1,97.8,0,0.00,0,
May  4:00,-31.3,88.1,0,0.00,0,
May  5:00,-19.6,79.5,0,0.00,0,
May  6:00,-8.1,71.0,0,0.00,0,
May  7:00,2.7,61.9,37,0.04,79,
May  8:00,12.6,51.8,221,0.26,392,
May  9:00,21.1,40.0,374,0.63,622,
May 10:00,27.6,26.3,487,1.12,790,
